Segment,Accuracy,Precision,Recall,F1
1,0.8,0.5714285714285714,0.6666666666666666,0.6153846153846154
2,1.0,0.0,0.0,0.0
0,0.9555555555555556,1.0,0.75,0.8571428571428571
